scenario_label,simulation_year,metric,aggregate,raw_value,n_simulations,simulation_ids,value
G1L1W1,2034,share_20_66,mean,0.56763742062686,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.56763742062686
G1L1W1,2034,share_over_67,mean,0.2288047240754237,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2288047240754237
G1L1W1,2034,share_under_20,mean,0.18880337791917634,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18880337791917634
G1L1W1,2034,total_20_66,mean,22095.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",45979.42515833334
G1L1W1,2034,total_over_67,mean,8906.333333333334,3,"[np.int64(1), np.int64(2), np.int64(3)]",18533.411691666668
G1L1W1,2034,total_pop,mean,38925.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",81001.39290833334
G1L1W1,2034,total_under_20,mean,7349.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",15293.411466666666
G1L1W1,2034,youth_quota,mean,0.3326188668613571,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3326188668613571
G1L1W1,2035,old_quota,mean,0.4105955609265229,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.4105955609265229
G1L1W1,2035,share_20_66,mean,0.5653378324894492,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5653378324894492
G1L1W1,2035,share_over_67,mean,0.23212177089348937,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23212177089348937
G1L1W1,2035,share_under_20,mean,0.18844974922391644,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18844974922391644
G1L1W1,2035,total_20_66,mean,21947.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",45670.754616666665
G1L1W1,2035,total_over_67,mean,9011.333333333334,3,"[np.int64(1), np.int64(2), np.int64(3)]",18751.90881666667
G1L1W1,2035,total_pop,mean,38821.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",80784.97670833333
G1L1W1,2035,total_under_20,mean,7316.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",15224.0473
G1L1W1,2035,youth_quota,mean,0.33334304639935813,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.33334304639935813
G1L1W1,2036,old_quota,mean,0.4151760467796053,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.4151760467796053
G1L1W1,2036,share_20_66,mean,0.5651278355505781,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5651278355505781
G1L1W1,2036,share_over_67,mean,0.23462561235013457,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23462561235013457
G1L1W1,2036,share_under_20,mean,0.18707181918531593,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18707181918531593
G1L1W1,2036,total_20_66,mean,21848.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",45464.0494
G1L1W1,2036,total_over_67,mean,9070.666666666666,3,"[np.int64(1), np.int64(2), np.int64(3)]",18875.377033333334
G1L1W1,2036,total_pop,mean,38660.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",80449.25414166668
G1L1W1,2036,total_under_20,mean,7232.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",15049.943241666668
G1L1W1,2036,youth_quota,mean,0.3310283861738865,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3310283861738865
G1L1W1,2037,old_quota,mean,0.4177628018604962,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.4177628018604962
G1L1W1,2037,share_20_66,mean,0.5648278399377592,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5648278399377592
